epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2891,2.90995,3.86303,4.03688,0.00445,0.24239,0.00738,0.00228,2.46806,3.52844,3.91318,0.000549352,0.000549352,0.000549352
2,19.5279,2.59092,3.21846,3.30124,0.06595,0.22447,0.04511,0.01441,2.22884,3.32208,3.15995,0.00109408,0.00109408,0.00109408
3,25.4964,2.12146,2.82717,2.7369,0.19368,0.4095,0.19004,0.09285,1.68696,2.80583,2.29058,0.0016278,0.0016278,0.0016278
4,31.3315,1.85037,2.50984,2.41686,0.35536,0.43406,0.33551,0.19599,1.45732,3.24397,2.0384,0.00161749,0.00161749,0.00161749
5,37.2774,1.67336,2.31886,2.2249,0.43521,0.519,0.42178,0.25251,1.38908,2.38762,1.88003,0.00160099,0.00160099,0.00160099
6,43.1057,1.55439,2.18133,2.08713,0.49699,0.53672,0.49869,0.32333,1.29958,1.78585,1.80589,0.00158448,0.00158448,0.00158448
7,49.4147,1.53127,2.08779,2.06295,0.39456,0.49274,0.36163,0.23301,1.26251,1.97544,1.75124,0.00156798,0.00156798,0.00156798
8,55.9314,1.42042,1.97642,1.95037,0.48145,0.52617,0.4733,0.29111,1.32197,1.77373,1.81743,0.00155148,0.00155148,0.00155148
9,62.1527,1.43823,1.95837,1.94898,0.5529,0.48159,0.52564,0.35798,1.1747,1.57988,1.65672,0.00153497,0.00153497,0.00153497
10,68.3812,1.38662,1.91701,1.92045,0.52126,0.57363,0.51368,0.33344,1.20659,1.5665,1.67365,0.00151847,0.00151847,0.00151847
11,74.7099,1.36079,1.82701,1.8797,0.56381,0.56623,0.57693,0.39673,1.1413,1.4645,1.61283,0.00150197,0.00150197,0.00150197
12,80.827,1.31928,1.80608,1.84018,0.58343,0.59792,0.57692,0.39725,1.10382,1.45577,1.5897,0.00148546,0.00148546,0.00148546
13,86.916,1.31099,1.73615,1.82912,0.54228,0.62046,0.6014,0.41653,1.09159,1.40827,1.56435,0.00146896,0.00146896,0.00146896
14,93.2081,1.30366,1.7209,1.81254,0.58374,0.60227,0.60763,0.43072,1.05141,1.35638,1.50747,0.00145246,0.00145246,0.00145246
15,99.1315,1.29601,1.71893,1.80154,0.59596,0.60226,0.61037,0.43056,1.0528,1.33389,1.52197,0.00143595,0.00143595,0.00143595
16,105,1.2626,1.7037,1.77875,0.53988,0.62919,0.55838,0.38023,1.05233,1.40725,1.53306,0.00141945,0.00141945,0.00141945
