epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6258,2.90995,3.86303,4.03688,0.00445,0.24239,0.00738,0.00228,2.46806,3.52844,3.91318,0.000549352,0.000549352,0.000549352
2,20.0596,2.60149,3.22595,3.31199,0.11734,0.24904,0.09496,0.03513,2.19834,2.99322,3.08474,0.00108314,0.00108314,0.00108314
3,26.3413,2.15087,2.87129,2.77942,0.28219,0.37388,0.26348,0.13959,1.67505,2.65472,2.27173,0.00159492,0.00159492,0.00159492
4,32.5315,1.87527,2.52727,2.42985,0.422,0.41054,0.35552,0.20348,1.50144,2.72802,2.0779,0.00156798,0.00156798,0.00156798
5,38.6158,1.70141,2.33608,2.24627,0.45254,0.4605,0.43651,0.26606,1.38512,2.2764,1.87784,0.00153497,0.00153497,0.00153497
6,44.5079,1.57128,2.1921,2.09899,0.51432,0.53206,0.50175,0.32172,1.3355,1.75906,1.82344,0.00150197,0.00150197,0.00150197
7,50.4358,1.5515,2.11155,2.08337,0.37968,0.50494,0.37933,0.24807,1.22329,2.07343,1.71872,0.00146896,0.00146896,0.00146896
8,56.6601,1.43037,2.00101,1.95584,0.51648,0.54246,0.49746,0.31161,1.29845,1.72689,1.79511,0.00143595,0.00143595,0.00143595
9,62.5833,1.44851,1.98322,1.9538,0.57173,0.54159,0.55599,0.3766,1.17737,1.52621,1.65764,0.00140295,0.00140295,0.00140295
10,68.532,1.39238,1.93011,1.91642,0.51006,0.58807,0.55447,0.37464,1.17532,1.50339,1.64173,0.00136994,0.00136994,0.00136994
11,74.4588,1.36229,1.83497,1.8766,0.52454,0.56055,0.5559,0.38639,1.13208,1.45225,1.63046,0.00133693,0.00133693,0.00133693
12,80.3108,1.33473,1.82251,1.85499,0.52976,0.59065,0.57198,0.38783,1.12822,1.45066,1.63138,0.00130393,0.00130393,0.00130393
