epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0842,1.07423,1.97357,1.30249,0.47191,0.59692,0.47653,0.34391,0.98772,1.73034,1.21518,0.000549352,0.000549352,0.000549352
2,26.6727,1.08299,1.47968,1.28599,0.45013,0.49252,0.46461,0.31178,1.1969,1.75483,1.42432,0.00108314,0.00108314,0.00108314
3,38.2411,1.08742,1.46018,1.29836,0.35083,0.58668,0.35637,0.23545,1.19333,1.83008,1.3595,0.00159492,0.00159492,0.00159492
4,49.9132,1.09652,1.38874,1.29044,0.50113,0.56705,0.48285,0.32277,1.07512,1.65985,1.31681,0.00156798,0.00156798,0.00156798
5,61.3853,1.07772,1.33512,1.2903,0.63613,0.63892,0.66181,0.47986,1.03086,1.26909,1.23766,0.00153497,0.00153497,0.00153497
6,71.4888,1.03973,1.22865,1.25977,0.65546,0.68442,0.70704,0.51543,0.98246,1.13754,1.20904,0.00150197,0.00150197,0.00150197
7,77.2122,1.0399,1.25162,1.26472,0.61096,0.64321,0.65468,0.47293,0.98366,1.46129,1.22377,0.00146896,0.00146896,0.00146896
8,83.0711,1.02976,1.1875,1.25449,0.60753,0.62251,0.64338,0.46243,1.02451,1.32481,1.23793,0.00143595,0.00143595,0.00143595
9,88.8127,0.9999,1.11948,1.22843,0.66967,0.6585,0.6952,0.50233,0.98793,1.36213,1.24283,0.00140295,0.00140295,0.00140295
10,94.547,0.99519,1.12092,1.22274,0.62253,0.62577,0.65519,0.48329,0.97079,1.19387,1.20113,0.00136994,0.00136994,0.00136994
11,100.202,1.00118,1.12302,1.23574,0.64833,0.68727,0.715,0.52256,0.95956,1.07294,1.18421,0.00133693,0.00133693,0.00133693
12,105.875,0.9808,1.08112,1.21773,0.68627,0.68162,0.73557,0.54376,0.94382,1.05404,1.18733,0.00130393,0.00130393,0.00130393
13,111.77,0.96215,1.01046,1.20728,0.69724,0.64064,0.73053,0.55417,0.93218,1.11207,1.16645,0.00127092,0.00127092,0.00127092
14,117.612,0.98495,1.04099,1.22842,0.7028,0.73201,0.77053,0.57618,0.91911,0.97795,1.16826,0.00123791,0.00123791,0.00123791
15,128.601,0.95169,0.96795,1.20435,0.67575,0.70708,0.74261,0.55815,0.90061,0.98834,1.1463,0.00120491,0.00120491,0.00120491
16,140.057,0.94523,0.95195,1.20082,0.69004,0.72872,0.75831,0.57114,0.90057,0.94236,1.14391,0.0011719,0.0011719,0.0011719
17,151.238,0.95724,0.97156,1.20265,0.76718,0.71709,0.78699,0.58454,0.90265,0.95961,1.15389,0.00113889,0.00113889,0.00113889
18,162.627,0.91889,0.91603,1.18394,0.70811,0.72045,0.76231,0.5749,0.89454,1.06001,1.14298,0.00110589,0.00110589,0.00110589
19,173.969,0.95011,0.94973,1.20561,0.71786,0.71385,0.77434,0.5832,0.90441,0.92579,1.15734,0.00107288,0.00107288,0.00107288
20,185.102,0.92147,0.91734,1.19031,0.67755,0.74484,0.75768,0.56991,0.91763,0.97799,1.15223,0.00103987,0.00103987,0.00103987
21,196.397,0.9327,0.89011,1.18432,0.68227,0.75798,0.7677,0.58922,0.87482,0.96008,1.12595,0.00100687,0.00100687,0.00100687
22,207.618,0.91009,0.87135,1.17811,0.78249,0.73771,0.82453,0.62782,0.89012,0.80757,1.13971,0.000973861,0.000973861,0.000973861
23,218.73,0.89999,0.85248,1.16553,0.74232,0.73728,0.80731,0.62716,0.87128,0.8869,1.11512,0.000940855,0.000940855,0.000940855
24,230.158,0.90659,0.85537,1.17982,0.70962,0.76326,0.79681,0.6177,0.85758,0.8795,1.11911,0.000907848,0.000907848,0.000907848
25,241.13,0.88055,0.80726,1.15385,0.77548,0.72921,0.81865,0.63261,0.86546,0.82803,1.13216,0.000874842,0.000874842,0.000874842
26,252.368,0.88686,0.82026,1.1621,0.79383,0.72961,0.83514,0.6436,0.85354,0.80152,1.11459,0.000841835,0.000841835,0.000841835
27,263.427,0.88626,0.78963,1.1517,0.75032,0.77246,0.82447,0.6388,0.84481,0.79852,1.11615,0.000808828,0.000808828,0.000808828
28,274.715,0.8718,0.782,1.15193,0.7602,0.77387,0.84011,0.64729,0.84193,0.8023,1.10031,0.000775822,0.000775822,0.000775822
29,285.675,0.87385,0.78062,1.14478,0.8176,0.72956,0.8416,0.65631,0.82796,0.78546,1.10128,0.000742815,0.000742815,0.000742815
30,296.786,0.87268,0.78273,1.14974,0.7999,0.75139,0.83866,0.65147,0.83918,0.81015,1.10156,0.000709809,0.000709809,0.000709809
31,307.897,0.85204,0.76227,1.13841,0.78124,0.80962,0.84835,0.6596,0.83657,0.75009,1.10132,0.000676802,0.000676802,0.000676802
32,318.965,0.86011,0.76225,1.13733,0.77374,0.7955,0.85402,0.67329,0.81873,0.73213,1.0808,0.000643795,0.000643795,0.000643795
33,329.996,0.84002,0.73337,1.12492,0.81523,0.76674,0.84901,0.6673,0.82644,0.72947,1.0895,0.000610789,0.000610789,0.000610789
34,341.098,0.8274,0.72181,1.11766,0.74193,0.77982,0.82507,0.64579,0.81769,0.80016,1.08549,0.000577782,0.000577782,0.000577782
35,352.131,0.84435,0.71622,1.12771,0.75281,0.79703,0.84164,0.6605,0.85336,0.81044,1.10738,0.000544776,0.000544776,0.000544776
36,363.402,0.8132,0.69239,1.11081,0.78733,0.78521,0.84701,0.66297,0.81478,0.72677,1.09007,0.000511769,0.000511769,0.000511769
37,374.684,0.80621,0.68898,1.11196,0.81675,0.7547,0.85772,0.67458,0.80933,0.74809,1.09239,0.000478762,0.000478762,0.000478762
38,385.874,0.81701,0.67613,1.11491,0.82428,0.79054,0.87567,0.69215,0.8144,0.70655,1.08861,0.000445756,0.000445756,0.000445756
39,396.997,0.81876,0.67163,1.11911,0.81775,0.79372,0.88108,0.69882,0.80482,0.66238,1.07821,0.000412749,0.000412749,0.000412749
40,408.326,0.79683,0.66606,1.1087,0.80767,0.76036,0.84102,0.66789,0.80143,0.71771,1.06878,0.000379743,0.000379743,0.000379743
41,420.789,0.76836,0.63042,1.07917,0.81622,0.78487,0.86792,0.68038,0.81379,0.68764,1.09285,0.000346736,0.000346736,0.000346736
42,431.847,0.75385,0.59505,1.0651,0.81487,0.81556,0.8695,0.68216,0.80171,0.66782,1.07895,0.000313729,0.000313729,0.000313729
43,443.053,0.74527,0.57016,1.06146,0.84728,0.79758,0.87936,0.69705,0.79336,0.65543,1.07514,0.000280723,0.000280723,0.000280723
44,454.345,0.73865,0.5534,1.0587,0.82901,0.816,0.88903,0.70551,0.79052,0.63785,1.06922,0.000247716,0.000247716,0.000247716
45,465.567,0.7348,0.54356,1.06311,0.83262,0.82372,0.88531,0.70618,0.77749,0.65364,1.06527,0.00021471,0.00021471,0.00021471
46,476.781,0.7166,0.53262,1.04375,0.82254,0.80722,0.87728,0.69951,0.77808,0.66948,1.06447,0.000181703,0.000181703,0.000181703
47,488.017,0.70588,0.50189,1.03794,0.82899,0.804,0.8761,0.70032,0.77334,0.66689,1.06091,0.000148696,0.000148696,0.000148696
48,499.333,0.70497,0.5069,1.04059,0.82719,0.82975,0.88698,0.71013,0.7739,0.64112,1.05933,0.00011569,0.00011569,0.00011569
49,510.638,0.69915,0.50074,1.03097,0.8616,0.80842,0.89093,0.71911,0.76812,0.62397,1.05552,8.26832e-05,8.26832e-05,8.26832e-05
50,521.664,0.6904,0.49291,1.0292,0.86115,0.8093,0.89338,0.7189,0.77082,0.62454,1.05834,4.96766e-05,4.96766e-05,4.96766e-05
