epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3257,1.05546,2.10012,1.27556,0.49748,0.50625,0.50364,0.3543,1.03941,1.68147,1.21325,0.000549352,0.000549352,0.000549352
2,27.6145,1.09491,1.70104,1.28205,0.39747,0.62924,0.49136,0.33791,1.10057,1.64142,1.31866,0.000995622,0.000995622,0.000995622
3,38.7958,1.11297,1.6301,1.30259,0.62548,0.60637,0.62997,0.44732,1.07634,1.55132,1.28194,0.00133187,0.00133187,0.00133187
4,49.7046,1.08522,1.51374,1.27918,0.57698,0.59313,0.57499,0.40691,1.04161,1.43058,1.23087,0.0011719,0.0011719,0.0011719
5,60.5007,1.05407,1.37673,1.26088,0.69796,0.64173,0.69787,0.5019,1.0026,1.16516,1.19685,0.00100687,0.00100687,0.00100687
6,71.437,1.02006,1.33475,1.23222,0.68349,0.65269,0.71497,0.5262,0.9662,1.15593,1.18814,0.000841835,0.000841835,0.000841835
7,82.3513,0.9851,1.23727,1.21068,0.60195,0.69873,0.65772,0.48899,0.93574,1.15671,1.14116,0.000676802,0.000676802,0.000676802
8,93.0537,0.95229,1.17676,1.19238,0.69807,0.62412,0.71469,0.53799,0.92465,1.13302,1.13927,0.000511769,0.000511769,0.000511769
9,103.828,0.9179,1.07475,1.1664,0.61563,0.74033,0.74549,0.56562,0.8711,0.99994,1.11083,0.000346736,0.000346736,0.000346736
10,114.903,0.88264,1.00488,1.14669,0.6991,0.72323,0.78442,0.60443,0.8615,0.92534,1.10235,0.000181703,0.000181703,0.000181703
