epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8261,1.06786,2.01978,1.30404,0.39614,0.52073,0.37333,0.2589,1.05824,1.77536,1.27355,0.000549493,0.000549493,0.000549493
2,27.401,1.06631,1.55935,1.28227,0.38942,0.5603,0.38526,0.25963,1.12533,1.69678,1.32671,0.00108328,0.00108328,0.00108328
3,38.7153,1.10069,1.55145,1.30254,0.40402,0.60128,0.43066,0.2871,1.15174,1.64,1.35143,0.00159506,0.00159506,0.00159506
4,50.2312,1.09856,1.4871,1.30735,0.36336,0.67555,0.36744,0.25113,1.09059,1.51871,1.29948,0.00156798,0.00156798,0.00156798
5,61.7911,1.07592,1.43933,1.29331,0.39795,0.62525,0.44696,0.31056,1.09031,1.43153,1.29047,0.00153497,0.00153497,0.00153497
6,73.2988,1.05867,1.37472,1.28347,0.41038,0.56123,0.39975,0.28027,1.05816,1.58062,1.27318,0.00150197,0.00150197,0.00150197
7,84.674,1.02946,1.33766,1.26624,0.39983,0.56292,0.43377,0.29783,1.08337,1.45196,1.28299,0.00146896,0.00146896,0.00146896
8,95.9009,1.03944,1.32502,1.27288,0.41976,0.60494,0.45637,0.32061,1.05057,1.38723,1.27564,0.00143595,0.00143595,0.00143595
9,107.06,1.01053,1.26367,1.25323,0.43509,0.67558,0.48994,0.3487,1.04741,1.29962,1.26046,0.00140295,0.00140295,0.00140295
10,118.003,0.99221,1.25005,1.23572,0.44299,0.67415,0.4815,0.3407,1.03423,1.27216,1.26051,0.00136994,0.00136994,0.00136994
11,128.93,1.00617,1.24336,1.24228,0.42863,0.63744,0.47681,0.34256,1.00344,1.3238,1.23698,0.00133693,0.00133693,0.00133693
12,139.868,0.97363,1.18739,1.21495,0.49722,0.64897,0.51713,0.37307,1.01607,1.22615,1.24309,0.00130393,0.00130393,0.00130393
